name,mean,std,max,fractal_dimension,volume_fraction
13_000_250_group_1,1.978658706,1.222104646,4.420454502,2.697359022,0.508399
13_000_250_group_2,1.899119648,1.129564423,4.257849216,2.695323525,0.490106
13_000_300_group_1,1.938249217,1.145469666,4.220863819,2.69582521,0.512101
13_000_300_group_2,1.840612092,1.051750979,4.257849216,2.696581024,0.480085
13_000_350_group_1,1.85937315,1.072334606,4.239396572,2.698929407,0.5039
13_000_350_group_2,1.817510246,1.030073327,4.257849216,2.695147421,0.473531
13_050_000_group_1,1.59852658,0.96194054,4.348936081,2.70860093,0.43617
13_050_000_group_2,1.519869278,0.840701011,3.706623077,2.715600112,0.403418
13_050_050_group_1,1.61448023,0.959346693,4.319543362,2.710381232,0.447476
13_050_050_group_2,1.986194329,1.698433672,6.967586517,2.702380061,0.442474
13_050_100_group_1,1.707392635,1.032647586,4.315004349,2.707906823,0.475647
13_050_100_group_2,2.117896766,1.681353767,6.495930672,2.690615086,0.47481
13_050_150_group_1,1.720204387,1.077898465,4.393771648,2.710856697,0.482706
13_050_150_group_2,2.1021113,1.668447169,6.495930672,2.699377869,0.493445
13_050_200_group_1,1.638965877,0.993401221,4.064743519,2.717642074,0.478958
13_050_200_group_2,2.124519284,1.72569796,7.102703571,2.698109745,0.492663
13_050_250_group_1,1.932541756,1.302711495,5.170428276,2.702356871,0.505543
13_050_250_group_2,1.935212744,1.248441154,5.909805775,2.692474034,0.495048
13_050_300_group_1,1.902131062,1.234615228,4.867798328,2.703277428,0.507221
13_050_300_group_2,1.841752152,1.127284723,4.901901245,2.694476009,0.480767
13_050_350_group_1,1.860733025,1.172003169,4.867798328,2.703188176,0.504172
13_050_350_group_2,1.888261701,1.149277248,4.901901245,2.687613501,0.479509
13_100_000_group_1,1.70231453,1.027130721,4.342170715,2.701511491,0.457329
13_100_000_group_2,1.56887338,0.846385398,3.674759865,2.712401078,0.42973
13_100_050_group_1,1.702999467,1.00168383,4.29451561,2.707938827,0.471802
13_100_050_group_2,1.971228824,1.67274658,6.967586517,2.705387462,0.458448
13_100_100_group_1,1.700356667,0.999700593,4.29451561,2.709692989,0.486953
13_100_100_group_2,2.037330731,1.653727935,6.495930672,2.696428211,0.476509
13_100_150_group_1,1.666523625,1.017699022,4.393771648,2.714263431,0.487387
13_100_150_group_2,2.001724816,1.650074876,6.491404057,2.703865886,0.482361
13_100_200_group_1,1.56888642,0.918955581,3.849287033,2.720995684,0.479836
13_100_200_group_2,2.002044345,1.717209671,7.102703571,2.702891844,0.473755
13_100_250_group_1,1.900056421,1.304044081,5.162841797,2.701632963,0.503172
13_100_250_group_2,1.883043119,1.229481417,5.719361305,2.695998654,0.48848
13_100_300_group_1,1.965080889,1.289976409,4.877852917,2.694739693,0.510138
